               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 100,             0.69395,             0.41746,              1.2923,             0.99948,                   1,               0.995,             0.88886,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,             0.73283,              0.4338,              1.3089,             0.99969,                   1,               0.995,             0.89291,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,              0.7268,             0.43585,              1.3086,             0.99969,                   1,               0.995,             0.89182,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,             0.74199,             0.42868,              1.3072,             0.99968,                   1,               0.995,             0.89436,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,             0.73333,              0.4337,              1.3095,             0.99911,                   1,               0.995,             0.87171,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,             0.72893,             0.41851,              1.3046,              0.9996,                   1,               0.995,             0.86553,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,             0.72659,             0.42769,              1.3129,             0.99968,                   1,               0.995,              0.8861,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,             0.71904,             0.41781,              1.3016,             0.99936,                   1,               0.995,             0.88936,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,             0.72647,             0.42671,              1.3321,             0.99936,                   1,               0.995,             0.88895,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,             0.73341,             0.42098,              1.2959,             0.99959,                   1,               0.995,             0.87994,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,             0.72363,              0.4136,              1.2977,             0.99966,                   1,               0.995,             0.89741,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,             0.73535,             0.42374,              1.3089,             0.99926,                   1,               0.995,             0.86702,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,             0.72275,             0.42343,               1.305,             0.99916,                   1,               0.995,             0.88783,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,             0.70286,             0.41943,              1.3038,             0.99941,                   1,               0.995,             0.89159,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,             0.72075,             0.41913,              1.2919,             0.99964,                   1,               0.995,             0.89649,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,             0.68625,             0.40934,              1.2968,             0.99964,                   1,               0.995,             0.89659,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,             0.68994,             0.41254,              1.2791,             0.99933,                   1,               0.995,             0.89451,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                 117,             0.72773,             0.42468,              1.2982,             0.99964,                   1,               0.995,             0.88957,                   0,                   0,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,             0.68734,             0.40092,              1.2744,              0.9993,                   1,               0.995,             0.89575,                   0,                   0,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,             0.72654,             0.41955,              1.3203,             0.99965,                   1,               0.995,              0.8993,                   0,                   0,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,             0.69861,              0.4077,              1.2681,             0.99964,                   1,               0.995,             0.90296,                   0,                   0,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,             0.72781,             0.42799,              1.2929,             0.99949,                   1,               0.995,             0.88098,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 122,             0.70118,             0.40481,              1.2925,              0.9995,                   1,               0.995,             0.87808,                   0,                   0,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,             0.71825,              0.4067,              1.3115,             0.99965,                   1,               0.995,             0.89438,                   0,                   0,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,             0.71627,             0.40464,              1.2933,             0.99961,                   1,               0.995,             0.89192,                   0,                   0,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,              0.6927,             0.40403,              1.3026,             0.99966,                   1,               0.995,             0.89135,                   0,                   0,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,             0.68936,              0.4019,              1.2869,             0.99942,                   1,               0.995,             0.88262,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                 127,             0.70455,             0.40428,              1.2824,              0.9997,                   1,               0.995,             0.90102,                   0,                   0,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,              0.7039,             0.40275,              1.2865,             0.99964,                   1,               0.995,              0.8962,                   0,                   0,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,             0.69292,             0.39809,              1.2711,             0.99956,                   1,               0.995,             0.89862,                   0,                   0,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,             0.65673,               0.395,              1.2701,             0.99968,                   1,               0.995,             0.88815,                   0,                   0,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,             0.68386,               0.401,              1.2718,             0.99959,                   1,               0.995,             0.90519,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                 132,             0.67489,             0.39319,              1.2683,             0.99959,                   1,               0.995,             0.89014,                   0,                   0,                   0,           0.0074062,           0.0074062,           0.0074062
